;n1 [gc/d];n2 [gc/d]
2020-07-05;;
2020-07-06;;
2020-07-07;614953694400.0;614953694400.0
2020-07-08;;
2020-07-09;939483272000.0;1024476544000.0
2020-07-10;;
2020-07-11;;
2020-07-12;379480640000.0;731855520000.0
2020-07-13;;
2020-07-14;;
2020-07-15;;
2020-07-16;748138332800.0;641962835200.0
2020-07-17;;
2020-07-18;;
2020-07-19;1740361920000.0;1480307840000.0
2020-07-20;;
2020-07-21;;
2020-07-22;;
2020-07-23;1464352000000.0;1245792000000.0
2020-07-24;;
2020-07-25;;
2020-07-26;1267436800000.0;1109007200000.0
2020-07-27;;
2020-07-28;;
2020-07-29;;
2020-07-30;;
2020-07-31;;
2020-08-01;;
2020-08-02;3496777120000.0;3496777120000.0
2020-08-03;;
2020-08-04;;
2020-08-05;;
2020-08-06;1103527040000.0;802565120000.0
2020-08-07;;
2020-08-08;;
2020-08-09;1075601280000.0;1179024480000.0
2020-08-10;;
2020-08-11;;
2020-08-12;;
2020-08-13;2009043255200.0;568392313600.0
2020-08-14;;
2020-08-15;;
2020-08-16;824971664000.0;313045040000.0
2020-08-17;;
2020-08-18;;
2020-08-19;;
2020-08-20;1400538852800.0;761991272000.0
2020-08-21;;
2020-08-22;;
2020-08-23;1087031100000.0;719437696000.0
2020-08-24;;
2020-08-25;;
2020-08-26;;
2020-08-27;1412040448000.0;1569505600000.0
2020-08-28;;
2020-08-29;;
2020-08-30;522063267200.0;835806246400.0
2020-08-31;;
2020-09-01;;
2020-09-02;;
2020-09-03;2268752578400.0;2539527317600.0
2020-09-04;;
2020-09-05;;
2020-09-06;1871467132800.0002;1880904321600.0
2020-09-07;;
2020-09-08;;
2020-09-09;;
2020-09-10;1295383979200.0;1215656166400.0
2020-09-11;;
2020-09-12;;
2020-09-13;2060624659200.0;1900086720000.0
2020-09-14;;
2020-09-15;;
2020-09-16;;
2020-09-17;2922168400000.0;3220008800000.0
2020-09-18;;
2020-09-19;;
2020-09-20;1047591680000.0;1154935040000.0
2020-09-21;;
2020-09-22;;
2020-09-23;;
2020-09-24;2014757803200.0;1912397688000.0
2020-09-25;;
2020-09-26;;
2020-09-27;2388858077600.0;2735447279200.0
2020-09-28;;
2020-09-29;;
2020-09-30;;
2020-10-01;5877310593600.0;6303095388000.0
2020-10-02;;
2020-10-03;;
2020-10-04;7926850355200.0;8024716492800.0
2020-10-05;;
2020-10-06;;
2020-10-07;;
2020-10-08;5514458560000.0;4910813440000.0
2020-10-09;;
2020-10-10;;
2020-10-11;;
2020-10-12;;
2020-10-13;;
2020-10-14;;
2020-10-15;12537935200000.0;12906698000000.0
2020-10-16;;
2020-10-17;;
2020-10-18;27463790400000.0;24828888000000.0
2020-10-19;;
2020-10-20;;
2020-10-21;;
2020-10-22;27848700400000.0;27848700400000.0
2020-10-23;;
2020-10-24;;
2020-10-25;33608198400000.0;32235100800000.0
2020-10-26;;
2020-10-27;;
2020-10-28;;
2020-10-29;35813455200000.0;34034641200000.0
2020-10-30;;
2020-10-31;48570185600000.0;46507131600000.0
2020-11-01;43780224000000.0;46219068000000.0
2020-11-02;29051281600000.0;24171125600000.0
2020-11-03;;
2020-11-04;21697848000000.0;19608425600000.0
2020-11-05;26567369600000.0;23359022000000.0
2020-11-06;36057830400000.0;31773180800000.0
2020-11-07;32690848000000.0;32069152000000.0
2020-11-08;30739471200000.0;26478554400000.0
2020-11-09;29054681855999.996;26886422016000.0
2020-11-10;28562948400000.0;28943787712000.0
2020-11-11;22848580188000.0;21390160176000.0
2020-11-12;32460484740000.0;36946893200000.0
2020-11-13;;
2020-11-14;;
2020-11-15;38952222512000.0;38612240520000.0
2020-11-16;38264400000000.0;31121712000000.0
2020-11-17;36809790400000.0;34131760000000.0
2020-11-18;41290588800000.0;33300524800000.0
2020-11-19;30913614000000.0;36164334000000.0
2020-11-20;;
2020-11-21;;
2020-11-22;21222252800000.0;21564547200000.0
2020-11-23;24015129600000.0;26614169600000.0
2020-11-24;23234427200000.0;20612843600000.0
2020-11-25;27548632800000.0;29354254800000.0
2020-11-26;27025548000000.0;30798926400000.0
2020-11-27;32145006000000.0;31027802000000.0
2020-11-28;29899928400000.0;33474394800000.0
2020-11-29;33792192000000.0;31851744000000.0
2020-11-30;32784096800000.0;29027049600000.0
2020-12-01;41621442176000.0;42212416000000.0
2020-12-02;33322615600000.0;33847381200000.0
2020-12-03;28492110656000.0;30342976112000.0
2020-12-04;29517878772000.0;25861748068000.0
2020-12-05;36840706560000.0;35152174176000.0
2020-12-06;38916301280000.0;31797465680000.004
2020-12-07;41697147848000.0;38014119016000.0
2020-12-08;35193089688000.0;32523753544000.0
2020-12-09;25976502108000.0;26438717448000.0
2020-12-10;29859842644000.0;29859842644000.0
2020-12-11;43651412768000.0;41934784176000.0
2020-12-12;36934094804000.0;35810339384000.0
2020-12-13;47394822720000.0;32433321480000.0
2020-12-14;35328319488000.0;32051109888000.0
2020-12-15;39547450880000.0;36087048928000.0
2020-12-16;31620528192000.0;31560640828000.0
2020-12-17;46053721392000.0;45647706216000.0
2020-12-18;46968730560000.0;46459431072000.0
2020-12-19;32332392540000.0;31543797600000.0
2020-12-20;23798409920000.0;23042104520000.0
2020-12-21;25499650000000.0;24996840000000.0
2020-12-22;35489841600000.0;40355384400000.0
2020-12-23;28189752800000.0;23266662000000.0
2020-12-24;38176641600000.0;32124247200000.0
2020-12-25;24136938800000.0;20521284000000.0
2020-12-26;27988020000000.0;27552650800000.0
2020-12-27;25342578000000.0;28197259200000.0
2020-12-28;40090713600000.0;33521796000000.0
2020-12-29;24848035200000.0;23493758400000.0
2020-12-30;17452504400000.0;15222152400000.0
2020-12-31;16510996800000.0;18996523200000.0
2021-01-01;30182588800000.0;25959278800000.0
2021-01-02;19675935600000.0;20086921200000.0
2021-01-03;32775170400000.0;31141681200000.0
2021-01-04;27026552000000.0;22919848000000.0
2021-01-05;22115106000000.0;25992075200000.0
2021-01-06;25517030400000.0;23774548000000.0
2021-01-07;17023920000000.0;16626695200000.0
2021-01-08;20866062400000.0;19664352000000.0
2021-01-09;20234044800000.0;17470116000000.0
2021-01-10;53059384000000.0;50846432000000.0
2021-01-11;19585162800000.0;15854655600000.0
2021-01-12;13308495600000.0;7940980800000.0
2021-01-13;;
2021-01-14;8274987360000.0;6559441200000.0
2021-01-15;;
2021-01-16;;
2021-01-17;14098406520000.0;11939485800000.0
2021-01-18;;
2021-01-19;5995126800000.0;5779917120000.0
2021-01-20;;
2021-01-21;;
2021-01-22;;
2021-01-23;;
2021-01-24;16696819320000.0;16425641280000.0
2021-01-25;;
2021-01-26;9756402240000.0;10165047360000.0
2021-01-27;;
2021-01-28;7361619720000.0;4007508960000.0
2021-01-29;;
2021-01-30;;
2021-01-31;7610737320000.0;7610737320000.0
2021-02-01;3925167400000.0;
2021-02-02;7148838400000.0;
2021-02-03;3782607200000.0;
2021-02-04;6153339280000.0;
2021-02-05;7758986760000.0;
2021-02-06;11329785000000.0;
2021-02-07;9141240120000.0;
2021-02-08;5186337600000.0;
2021-02-09;4142321680000.0;
2021-02-10;3486632640000.0;
2021-02-11;4371110400000.0;
2021-02-12;2913712360000.0;
2021-02-13;3141231440000.0;
2021-02-14;6016078320000.0;
2021-02-15;3314347400000.0;
2021-02-16;3078280000000.0;
2021-02-17;2616952800000.0;
2021-02-18;4638624320000.0;
2021-02-19;2469528000000.0;
2021-02-20;4507029600000.0;
2021-02-21;3569876400000.0;
2021-02-22;2803933160000.0;
2021-02-23;2791947720000.0;
2021-02-24;4990422080000.0;
2021-02-25;3501435600000.0;
2021-02-26;3824358240000.0;
2021-02-27;4309176760000.0;
2021-02-28;3651935800000.0;
2021-03-01;;
2021-03-02;3464084680000.0;
2021-03-03;5207645520000.0;
2021-03-04;4547262720000.0;
2021-03-05;4300253280000.0;
2021-03-06;5634000360000.0;
2021-03-07;9061341120000.0;
2021-03-08;5888549280000.0;
2021-03-09;6391773720000.0;
2021-03-10;6669748800333.696;
2021-03-11;7530138341227.904;
2021-03-12;7506437913428.447;
2021-03-13;5014051114201.885;
2021-03-14;2892112941115.584;
2021-03-15;5204239764947.238;
2021-03-16;7618005882909.0;
2021-03-17;5890518529441.685;
2021-03-18;6080558235275.336;
2021-03-19;7731602471097.3125;
2021-03-20;8348571177084.736;
2021-03-21;9712376472064.0;
2021-03-22;7014383823683.68;
2021-03-23;9281972203946.863;
2021-03-24;10374142500000.0;
2021-03-25;15134624116509.184;
2021-03-26;13319070000142.785;
2021-03-27;18747042351082.24;
2021-03-28;10202164853099.121;
2021-03-29;12725032145305.535;
2021-03-30;10516880292704.8;
2021-03-31;12369450177849.28;
2021-04-01;16410163500134.543;
2021-04-02;13519553822899.68;
2021-04-03;10009499824020.863;
2021-04-04;10765653176117.617;
2021-04-05;18276436587104.062;
2021-04-06;16702479706864.336;
2021-04-07;46803218821746.43;
2021-04-08;14405796177009.277;
2021-04-09;21357712500000.0;
2021-04-10;16843320001268.799;
2021-04-11;22760602940754.0;
2021-04-12;26788290355053.312;
2021-04-13;15329848763418.336;
2021-04-14;16704036617101.76;
2021-04-15;11830455794253.777;
2021-04-16;18299810295463.84;
2021-04-17;10031675293735.488;
2021-04-18;12276941912012.96;
2021-04-19;7402393058954.256;
2021-04-20;9326592175424.768;
